source,target,count
Adam Sandler,Nick Swardson,5
Akshay Kumar,Anupam Kher,5
Alessandro Juliani,Britt McKillip,6
Alessandro Juliani,Diana Kaarina,6
Alessandro Juliani,Ian James Corlett,6
Alessandro Juliani,Kathleen Barr,5
Alessandro Juliani,Nicole Anthony,6
Alex Heartman,Brittany Anne Pirtle,5
Alex Heartman,Erika Fong,5
Alex Heartman,Hector David Jr.,5
Alex Heartman,Najee De-Tiege,5
Andrea Libman,Alessandro Juliani,6
Andrea Libman,Britt McKillip,6
Andrea Libman,Diana Kaarina,7
Andrea Libman,Ian James Corlett,8
Andrea Libman,Kathleen Barr,5
Andrea Libman,Nicole Anthony,6
Andrea Libman,Tabitha St. Germain,6
Anushka Shetty,Nassar,7
Anushka Shetty,Ramya Krishnan,7
Anushka Shetty,Sathyaraj,7
Anushka Shetty,Tamannaah Bhatia,7
Ashleigh Ball,Andrea Libman,5
Ashleigh Ball,Tabitha St. Germain,6
Audu Paden,Cindy Robinson,5
Britt McKillip,Kathleen Barr,5
Cam Clarke,Erin Fitzgerald,5
Cam Clarke,Kate Higgins,5
Chie Nakamura,Kazuhiko Inoue,5
Damandeep Singh Baggan,Baba Sehgal,5
Damandeep Singh Baggan,Smita Malhotra,6
Debi Derryberry,Audu Paden,5
Debi Derryberry,Cindy Robinson,5
Debi Derryberry,Erin Fitzgerald,6
Debi Derryberry,Evan Smith,5
Debi Derryberry,Salli Saffioti,6
Diana Kaarina,Britt McKillip,6
Diana Kaarina,Ian James Corlett,6
Diana Kaarina,Kathleen Barr,5
Elyse Maloway,Alessandro Juliani,6
Elyse Maloway,Andrea Libman,6
Elyse Maloway,Britt McKillip,6
Elyse Maloway,Diana Kaarina,6
Elyse Maloway,Ian James Corlett,6
Elyse Maloway,Kathleen Barr,5
Elyse Maloway,Nicole Anthony,6
Elyse Maloway,Vincent Tong,6
Eric Idle,Michael Palin,9
Eric Idle,Terry Jones,9
Erika Fong,Brittany Anne Pirtle,5
Erin Fitzgerald,Kate Higgins,5
Erin Mathews,Andrea Libman,6
Erin Mathews,Ian James Corlett,6
Graham Chapman,Eric Idle,6
Graham Chapman,John Cleese,5
Graham Chapman,Michael Palin,6
Graham Chapman,Terry Gilliam,6
Graham Chapman,Terry Jones,6
Hector David Jr.,Brittany Anne Pirtle,5
Ian James Corlett,Britt McKillip,6
Ian James Corlett,Kathleen Barr,5
Jigna Bharadhwaj,Rajesh Kawa,6
John Cleese,Eric Idle,7
John Cleese,Michael Palin,7
John Cleese,Terry Gilliam,7
John Cleese,Terry Jones,7
John Paul Tremblay,John Dunsworth,8
John Paul Tremblay,Patrick Roach,5
John Paul Tremblay,Robb Wells,7
Julie Tejwani,Jigna Bharadhwaj,6
Julie Tejwani,Rajesh Kawa,6
Junko Takeuchi,Chie Nakamura,7
Junko Takeuchi,Kazuhiko Inoue,6
Karamjit Anmol,Harby Sangha,5
Kate Higgins,America Young,6
Kate Higgins,Audu Paden,6
Kate Higgins,Cindy Robinson,5
Kate Higgins,Erin Fitzgerald,5
Kate Higgins,Salli Saffioti,7
Laura Bailey,Audu Paden,6
Laura Bailey,Cam Clarke,5
Laura Bailey,Cindy Robinson,5
Laura Bailey,Erin Fitzgerald,8
Laura Bailey,Kate Higgins,5
Mike Smith,John Dunsworth,5
Mike Smith,John Paul Tremblay,5
Mike Smith,Robb Wells,5
Najee De-Tiege,Brittany Anne Pirtle,5
Nicole Anthony,Britt McKillip,6
Nicole Anthony,Diana Kaarina,6
Nicole Anthony,Ian James Corlett,6
Nicole Anthony,Kathleen Barr,5
Prabhas,Anushka Shetty,7
Prabhas,Nassar,7
Prabhas,Ramya Krishnan,7
Prabhas,Rana Daggubati,7
Prabhas,Sathyaraj,7
Prabhas,Tamannaah Bhatia,7
Rana Daggubati,Anushka Shetty,7
Rana Daggubati,Nassar,7
Rana Daggubati,Ramya Krishnan,7
Rana Daggubati,Sathyaraj,7
Rana Daggubati,Tamannaah Bhatia,7
Robb Wells,John Dunsworth,8
Robb Wells,Patrick Roach,5
Rupa Bhimani,Rajesh Kawa,6
Salli Saffioti,America Young,5
Salli Saffioti,Evan Smith,5
Sathyaraj,Nassar,7
Sathyaraj,Ramya Krishnan,7
Shah Rukh Khan,Boman Irani,5
Smita Malhotra,Baba Sehgal,5
Sylvester Stallone,Burt Young,5
Sylvester Stallone,Talia Shire,5
Takahiro Sakurai,Yuki Kaji,6
Talia Shire,Burt Young,5
Tamannaah Bhatia,Nassar,7
Tamannaah Bhatia,Ramya Krishnan,7
Tamannaah Bhatia,Sathyaraj,7
Terry Gilliam,Eric Idle,6
Terry Gilliam,Michael Palin,7
Terry Gilliam,Terry Jones,7
Terry Jones,Michael Palin,9
Vincent Tong,Alessandro Juliani,6
Vincent Tong,Andrea Libman,6
Vincent Tong,Britt McKillip,6
Vincent Tong,Diana Kaarina,6
Vincent Tong,Ian James Corlett,6
Vincent Tong,Kathleen Barr,5
Vincent Tong,Nicole Anthony,6
