source,target
Adam Sandler,Nick Swardson
Akshay Kumar,Anupam Kher
Alessandro Juliani,Britt McKillip
Alessandro Juliani,Diana Kaarina
Alessandro Juliani,Ian James Corlett
Alessandro Juliani,Kathleen Barr
Alessandro Juliani,Nicole Anthony
Alex Heartman,Brittany Anne Pirtle
Alex Heartman,Erika Fong
Alex Heartman,Hector David Jr.
Alex Heartman,Najee De-Tiege
Andrea Libman,Alessandro Juliani
Andrea Libman,Britt McKillip
Andrea Libman,Diana Kaarina
Andrea Libman,Ian James Corlett
Andrea Libman,Kathleen Barr
Andrea Libman,Nicole Anthony
Andrea Libman,Tabitha St. Germain
Anushka Shetty,Nassar
Anushka Shetty,Ramya Krishnan
Anushka Shetty,Sathyaraj
Anushka Shetty,Tamannaah Bhatia
Ashleigh Ball,Andrea Libman
Ashleigh Ball,Tabitha St. Germain
Audu Paden,Cindy Robinson
Britt McKillip,Kathleen Barr
Cam Clarke,Erin Fitzgerald
Cam Clarke,Kate Higgins
Chie Nakamura,Kazuhiko Inoue
Damandeep Singh Baggan,Baba Sehgal
Damandeep Singh Baggan,Smita Malhotra
Debi Derryberry,Audu Paden
Debi Derryberry,Cindy Robinson
Debi Derryberry,Erin Fitzgerald
Debi Derryberry,Evan Smith
Debi Derryberry,Salli Saffioti
Diana Kaarina,Britt McKillip
Diana Kaarina,Ian James Corlett
Diana Kaarina,Kathleen Barr
Elyse Maloway,Alessandro Juliani
Elyse Maloway,Andrea Libman
Elyse Maloway,Britt McKillip
Elyse Maloway,Diana Kaarina
Elyse Maloway,Ian James Corlett
Elyse Maloway,Kathleen Barr
Elyse Maloway,Nicole Anthony
Elyse Maloway,Vincent Tong
Eric Idle,Michael Palin
Eric Idle,Terry Jones
Erika Fong,Brittany Anne Pirtle
Erin Fitzgerald,Kate Higgins
Erin Mathews,Andrea Libman
Erin Mathews,Ian James Corlett
Graham Chapman,Eric Idle
Graham Chapman,John Cleese
Graham Chapman,Michael Palin
Graham Chapman,Terry Gilliam
Graham Chapman,Terry Jones
Hector David Jr.,Brittany Anne Pirtle
Ian James Corlett,Britt McKillip
Ian James Corlett,Kathleen Barr
Jigna Bharadhwaj,Rajesh Kawa
John Cleese,Eric Idle
John Cleese,Michael Palin
John Cleese,Terry Gilliam
John Cleese,Terry Jones
John Paul Tremblay,John Dunsworth
John Paul Tremblay,Patrick Roach
John Paul Tremblay,Robb Wells
Julie Tejwani,Jigna Bharadhwaj
Julie Tejwani,Rajesh Kawa
Junko Takeuchi,Chie Nakamura
Junko Takeuchi,Kazuhiko Inoue
Karamjit Anmol,Harby Sangha
Kate Higgins,America Young
Kate Higgins,Audu Paden
Kate Higgins,Cindy Robinson
Kate Higgins,Erin Fitzgerald
Kate Higgins,Salli Saffioti
Laura Bailey,Audu Paden
Laura Bailey,Cam Clarke
Laura Bailey,Cindy Robinson
Laura Bailey,Erin Fitzgerald
Laura Bailey,Kate Higgins
Mike Smith,John Dunsworth
Mike Smith,John Paul Tremblay
Mike Smith,Robb Wells
Najee De-Tiege,Brittany Anne Pirtle
Nicole Anthony,Britt McKillip
Nicole Anthony,Diana Kaarina
Nicole Anthony,Ian James Corlett
Nicole Anthony,Kathleen Barr
Prabhas,Anushka Shetty
Prabhas,Nassar
Prabhas,Ramya Krishnan
Prabhas,Rana Daggubati
Prabhas,Sathyaraj
Prabhas,Tamannaah Bhatia
Rana Daggubati,Anushka Shetty
Rana Daggubati,Nassar
Rana Daggubati,Ramya Krishnan
Rana Daggubati,Sathyaraj
Rana Daggubati,Tamannaah Bhatia
Robb Wells,John Dunsworth
Robb Wells,Patrick Roach
Rupa Bhimani,Rajesh Kawa
Salli Saffioti,America Young
Salli Saffioti,Evan Smith
Sathyaraj,Nassar
Sathyaraj,Ramya Krishnan
Shah Rukh Khan,Boman Irani
Smita Malhotra,Baba Sehgal
Sylvester Stallone,Burt Young
Sylvester Stallone,Talia Shire
Takahiro Sakurai,Yuki Kaji
Talia Shire,Burt Young
Tamannaah Bhatia,Nassar
Tamannaah Bhatia,Ramya Krishnan
Tamannaah Bhatia,Sathyaraj
Terry Gilliam,Eric Idle
Terry Gilliam,Michael Palin
Terry Gilliam,Terry Jones
Terry Jones,Michael Palin
Vincent Tong,Alessandro Juliani
Vincent Tong,Andrea Libman
Vincent Tong,Britt McKillip
Vincent Tong,Diana Kaarina
Vincent Tong,Ian James Corlett
Vincent Tong,Kathleen Barr
Vincent Tong,Nicole Anthony
