genre,count
Action & Adventure,597
Anime Features,45
Anime Series,117
British TV Shows,210
Children & Family Movies,378
Classic & Cult TV,24
Classic Movies,84
Comedies,1113
Crime TV Shows,363
Cult Movies,55
Documentaries,668
Docuseries,279
Dramas,1623
Faith & Spirituality,47
Horror Movies,262
Independent Movies,552
International Movies,1927
International TV Shows,1001
Kids' TV,328
Korean TV Shows,132
LGBTQ Movies,60
Movies,56
Music & Musicals,243
Reality TV,153
Romantic Movies,376
Romantic TV Shows,278
Sci-Fi & Fantasy,193
Science & Nature TV,67
Spanish-Language TV Shows,117
Sports Movies,157
Stand-Up Comedy,281
Stand-Up Comedy & Talk Shows,42
TV Action & Adventure,126
TV Comedies,436
TV Dramas,599
TV Horror,54
TV Mysteries,69
TV Sci-Fi & Fantasy,68
TV Shows,10
TV Thrillers,44
Teen TV Shows,44
Thrillers,392
